,NEWS_TITLE,AUTHOR,TIMESTAM,Images
0,Original Content podcast: ‘Eurovision Song Contest: The Story of Fire Saga’ is a goofy delight,"Anthony Ha, Jordan Crook, Darrell Etherington","6:30 pm IST•July 5, 2020",https://techcrunch.com/wp-content/uploads/2020/07/GettyImages-1070913588-e1593707374217.jpg?w=850&h=492&crop=1
1,Facebook makes education push in India,Manish Singh,"1:38 pm IST•July 5, 2020",https://techcrunch.com/wp-content/uploads/2020/07/Euro_Unit_32185r.jpg?w=430&h=230&crop=1
2,"Rocket Lab launch fails during rocket’s second stage burn, causing a loss of vehicle and payloads",Darrell Etherington,"4:20 am IST•July 5, 2020",https://techcrunch.com/wp-content/uploads/2020/05/GettyImages-936481322.jpg?w=430&h=230&crop=1
3,"How to watch Rocket Lab launch satellites for Canon, Planet and more live",Darrell Etherington,"11:46 pm IST•July 4, 2020",https://techcrunch.com/wp-content/uploads/2018/01/moonrocket.jpg?w=430&h=230&crop=1
4,"Startups Weekly: Tech unicorns look to IPOs as Lemonade, Accolade boom",Eric Eldon,"11:30 pm IST•July 4, 2020",https://techcrunch.com/wp-content/uploads/2020/06/fb-3d.jpg?w=430&h=230&crop=1
5,"This Week in Apps: India bans Chinese apps, Apple freezes game updates in China, iOS developer backlash continues",Sarah Perez,"10:03 pm IST•July 4, 2020",https://techcrunch.com/wp-content/uploads/2020/07/GettyImages-593387043.jpg?w=430&h=230&crop=1
6,Tesla is taking reservations for its Cybertruck in China,Kirsten Korosec,"3:06 am IST•July 4, 2020",https://techcrunch.com/wp-content/uploads/2020/05/tung-richards.jpg?w=430&h=230&crop=1
7,R&D Roundup: Tech giants unveil breakthroughs at computer vision summit,Devin Coldewey,"10:35 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2020/05/NSussman_Techcrunch_Exchange_v3-ORNG.jpg?w=430&h=230&crop=1
8,We need a new field of AI to combat racial bias,Gary Shiffman,"9:00 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2020/06/passwords-pattern-isometric-alt.jpg?w=940&h=465&crop=1
9,GGV’s Jeff Richards: ‘There is a level of resiliency in Silicon Valley that we did not have 10 years ago’,Alex Wilhelm,"8:07 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2019/08/GettyImages-581033659-1-e1566315740428.jpg?w=430&h=230&crop=1
10,"As Q3 kicks off, four more companies join the $100M ARR club",Alex Wilhelm,"8:00 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2019/11/equity-podcast-2019-phone-1-2.jpg?w=430&h=230&crop=1
11,Dating app S’More adds blurred video calling and launches in LA,Anthony Ha,"6:30 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2020/07/GettyImages-1070913588-e1593707374217.jpg?w=940&h=465&crop=1
12,"When life gives you lemons, print money with Lemonade",Alex Wilhelm,"6:30 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2020/05/GettyImages-617856864.jpg?w=430&h=230&crop=1
13,The UK government to acquire satellite company OneWeb in deal funded in part by India’s Bharti Global,Darrell Etherington,"5:59 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2020/07/bionicswift-film-1532x862px.jpg?w=430&h=230&crop=1
14,Lime puts Jump bikes back on London streets,Kirsten Korosec,"1:30 pm IST•July 3, 2020",https://techcrunch.com/wp-content/uploads/2018/08/sprint.jpg?w=430&h=230&crop=1
15,Intel to invest $253.5 million in India’s Reliance Jio Platforms,Manish Singh,"9:30 am IST•July 3, 2020",
16,Festo’s latest biomimetic robots are a flying feathered bird and ball-bottomed helper arm,Devin Coldewey,"5:24 am IST•July 3, 2020",
17,"Sprint 5G is no more, as T-Mobile focuses on its own network",Brian Heater,"3:51 am IST•July 3, 2020",
